date,sector,sector_rank,sector_avg_momentum,code,name,signal_price,momentum,is_uptrend,ma20,ma60,volume_ratio,foreign_5d_net_buy_mil,passed_all_filters,selected,bb_pct,atr,avg_tr_pbmn_mil
2026-05-27,반도체 대표주(생산),2,56.38,000990,DB하이텍,210500,38.49,True,172090.0,120263.0,1.65,,False,False,1.023,21143.0,130514.3
2026-05-27,IT 대표주,3,53.2,066570,LG전자,237500,86.27,True,183840.0,139573.0,0.77,,False,False,0.831,25236.0,679064.1
2026-05-27,IT 대표주,3,53.2,000660,SK하이닉스,2259000,84.86,True,1728050.0,1239900.0,0.92,,False,False,0.97,147857.0,9158981.8
2026-05-27,IT 대표주,3,53.2,005930,삼성전자,319500,45.56,True,269475.0,220775.0,0.75,,False,False,0.928,19429.0,8341642.8
2026-05-27,IT 대표주,3,53.2,018260,삼성에스디에스,222000,30.74,True,179585.0,168512.0,1.14,,False,False,1.264,14464.0,95330.4
2026-05-27,IT 대표주,3,53.2,034220,LG디스플레이,15140,18.56,True,13412.0,12616.0,1.44,,False,False,0.864,1359.0,171090.2
2026-05-27,소캠(SOCAMM),4,47.64,000660,SK하이닉스,2259000,84.86,True,1728050.0,1239900.0,0.92,,False,False,0.97,147857.0,9158981.8
2026-05-27,소캠(SOCAMM),4,47.64,353200,대덕전자,171600,48.96,True,132665.0,97473.0,1.69,,False,False,1.039,16307.0,125233.7
2026-05-27,소캠(SOCAMM),4,47.64,005930,삼성전자,319500,45.56,True,269475.0,220775.0,0.75,,False,False,0.928,19429.0,8341642.8
2026-05-27,소캠(SOCAMM),4,47.64,222800,심텍,129250,45.39,True,106252.0,76156.0,1.53,,False,False,0.87,13029.0,91068.7
2026-05-27,소캠(SOCAMM),4,47.64,033160,엠케이전자,32500,13.44,True,29360.0,21454.0,0.67,,False,False,0.796,3800.0,32002.4
2026-05-27,냉각시스템(액침냉각 등),5,42.58,066570,LG전자,237500,86.27,True,183840.0,139573.0,0.77,,False,False,0.831,25236.0,679064.1
2026-05-27,냉각시스템(액침냉각 등),5,42.58,067170,오텍,4295,76.39,True,3403.0,2460.0,1.51,,False,False,0.851,587.0,8496.6
2026-05-27,냉각시스템(액침냉각 등),5,42.58,036200,유니셈,13890,17.51,True,11874.0,10607.0,1.05,,False,False,1.042,1051.0,7016.1
2026-05-27,냉각시스템(액침냉각 등),5,42.58,096770,SK이노베이션,119800,-9.86,False,130390.0,123248.0,0.51,,False,False,0.244,7350.0,117552.3
2026-05-28,IT 대표주,1,51.24,066570,LG전자,234500,80.38,True,188940.0,141012.0,0.75,,False,False,0.786,25543.0,706501.4
2026-05-28,IT 대표주,1,51.24,000660,SK하이닉스,2195000,69.89,True,1772400.0,1258533.0,1.36,0,True,True,0.878,152286.0,9826520.0
